@id	@type	type	route	name	description	from	to	ref	detour	status	Länge Teilstücke
187221	relation	route	detour	U 57 (A 6)				U 57	A 6	zusammenhängend	10,027
187377	relation	route	detour	U 19 (A 81)				U 19	A 81	zusammenhängend	20,604
187385	relation	route	detour	U 12 (A 5)				U 12	A 5	zusammenhängend	21,075
187392	relation	route	detour					U 14	A 5	zusammenhängend	35,553
187403	relation	route	detour	U 16 (A 5)				U 16	A 5	nicht zusammenhängend	0,527	3,787
222588	relation	route	detour	U 15 (A 5)				U 15	A 5	zusammenhängend	22,765
222692	relation	route	detour	U 34 (A 5)				U 34	A 5	zusammenhängend	16,812
222693	relation	route	detour	U 21 (A 5)				U 21	A 5	zusammenhängend	16,670
275357	relation	route	detour	U 48 (A 81)				U 48	A 81	zusammenhängend	23,989
275358	relation	route	detour	U 33 (A 81)				U 33	A 81	zusammenhängend	24,592
275361	relation	route	detour	U 46 (A 81)				U 46	A 81	zusammenhängend	9,581
275362	relation	route	detour	U 35 (A 81)				U 35	A 81	zusammenhängend	9,336
278245	relation	route	detour	U 31 (A 81)				U 31	A 81	zusammenhängend	15,611
278310	relation	route	detour	U 2 (A 81)				U 2	A 81	zusammenhängend	11,694
281512	relation	route	detour	U 42 (A 81)				U 42	A 81	zusammenhängend	20,519
281513	relation	route	detour	U 40 (A 81)				U 40	A 81	zusammenhängend	21,137
281514	relation	route	detour	U 41 (A 81)				U 41	A 81	zusammenhängend	21,691
281515	relation	route	detour	U 39 (A 81)				U 39	A 81	zusammenhängend	20,479
285092	relation	route	detour	U 43 (A 81)				U 43	A 81	zusammenhängend	16,992
285093	relation	route	detour	U 38 (A 81)				U 38	A 81	zusammenhängend	16,579
318213	relation	route	detour	U 24 (A 81)				U 24	A 81	zusammenhängend	9,635
326713	relation	route	detour	U 26 (A 81)				U 26	A 81	zusammenhängend	21,870
326719	relation	route	detour	U 25 (A 81)				U 25	A 81	zusammenhängend	17,531
359986	relation	route	detour	U 26a (A 8)				U 26a	A 8	zusammenhängend	16,416
363644	relation	route	detour	U 16 (A 81)				U 16	A 81	zusammenhängend	19,428
363892	relation	route	detour	U 18 (A 81)				U 18	A 81	zusammenhängend	13,103
363895	relation	route	detour	U 70 (A 6)				U 70	A 6	zusammenhängend	9,801
363897	relation	route	detour	U 72 (A 6)				U 72	A 6	zusammenhängend	17,728
363901	relation	route	detour	U 63 (A 6)				U 63	A 6	zusammenhängend	13,986
372476	relation	route	detour	U 66 (A 6)				U 66	A 6	zusammenhängend	5,368
372557	relation	route	detour	U 31 (A 81)				U 31	A 81	zusammenhängend	20,780
379582	relation	route	detour	U 6 (A 81)				U 6	A 81	nicht zusammenhängend	6,572	9,104
389470	relation	route	detour					U 1	A 5	zusammenhängend	7,189
389502	relation	route	detour	U 3 (A 5)				U 3	A 5	zusammenhängend	13,263
389583	relation	route	detour	U 5 (A 5)				U 5	A 5	nicht zusammenhängend	22,920	0,129	0,214
389622	relation	route	detour					U 7	A 5	nicht zusammenhängend	20,147	0,168	0,141
390275	relation	route	detour	U 7a (A 5)				U 7a	A 5	zusammenhängend	22,259
390299	relation	route	detour	U 9 (A 5)				U 9	A 5	zusammenhängend	17,881
390435	relation	route	detour					U 11	A 5	zusammenhängend	10,852
390547	relation	route	detour					U 13	A 5	zusammenhängend	14,441
390608	relation	route	detour					U 17	A 5	zusammenhängend	7,986
390648	relation	route	detour	U 23 (A 5)				U 23	A 5	zusammenhängend	25,760
391253	relation	route	detour	U 31 (A 5)				U 31	A 5	zusammenhängend	15,355
391322	relation	route	detour					U 35	A 5	zusammenhängend	17,753
391357	relation	route	detour					U 37	A 5	zusammenhängend	2,425
391955	relation	route	detour	U 5 (A 8)				U 5	A 8	zusammenhängend	23,861
392000	relation	route	detour	U 7 (A 8)				U 7	A 8	zusammenhängend	8,050
392351	relation	route	detour	U 8 (A 81)				U 8	A 81	zusammenhängend	13,973
392353	relation	route	detour	U 12 (A 81)				U 12	A 81	zusammenhängend	16,690
392355	relation	route	detour	U 18 (A 81)				U 18	A 81	zusammenhängend	12,702
395536	relation	route	detour	U 22a (A 8)				U 22a	A 8	zusammenhängend	4,369
395542	relation	route	detour	U 24a (A 81)				U 24a	A 8	zusammenhängend	6,473
396783	relation	route	detour	U 28 (A 8)				U 28	A 8	zusammenhängend	13,090
396785	relation	route	detour	U 28a (A 8)				U 28a	A 8	zusammenhängend	14,985
396796	relation	route	detour	U 30 (A 8)				U 30	A 8	zusammenhängend	29,564
396806	relation	route	detour	U 32 (A 8)				U 32	A 8	zusammenhängend	11,177
396807	relation	route	detour	U 34 (A 8)				U 34	A 8	zusammenhängend	10,381
396822	relation	route	detour					U 39a	A 5	zusammenhängend	5,363
396824	relation	route	detour					U 41	A 5	zusammenhängend	22,947
396831	relation	route	detour					U 45	A 5	zusammenhängend	15,339
396833	relation	route	detour					U 47	A 5	zusammenhängend	17,662
397086	relation	route	detour	U 49 (A 5)				U 49	A 5	zusammenhängend	13,453
397088	relation	route	detour	U 51 (A 5)				U 51	A 5	zusammenhängend	10,172
397092	relation	route	detour	U 55 (A 5)				U 55	A 5	zusammenhängend	8,052
397214	relation	route	detour	U 59 (A 5)				U 59	A 5	zusammenhängend	9,309
397218	relation	route	detour	U 63 (A 5)				U 63	A 5	zusammenhängend	10,640
399031	relation	route	detour	U 86 (A 5)				U 86	A 5	zusammenhängend	17,567
399035	relation	route	detour	U 88 (A 5)				U 88	A 5	zusammenhängend	14,750
399042	relation	route	detour	U 92 (A 5)				U 92	A 5	zusammenhängend	6,963
399047	relation	route	detour	U 94 (A 5)				U 94	A 5	zusammenhängend	8,001
399048	relation	route	detour					U 96	A 5	zusammenhängend	12,089
399055	relation	route	detour	U 8 (A 5)				U 8	A 5	zusammenhängend	14,448
399059	relation	route	detour	U 10 (A 5)				U 10	A 5	zusammenhängend	24,352
399075	relation	route	detour	U 18 (A 5)				U 18	A 5	zusammenhängend	9,450
399076	relation	route	detour	U 3 (A 8)				U 3	A 8	zusammenhängend	8,853
399082	relation	route	detour	U 7a (A 8)				U 7a	A 8	zusammenhängend	8,534
399088	relation	route	detour	U 9b (A 8)				U 9b	A 8	zusammenhängend	5,745
399132	relation	route	detour	U 2 (A 831)				U 2	A 831	zusammenhängend	4,604
399165	relation	route	detour					U 17a	A 8	zusammenhängend	3,745
399452	relation	route	detour	U 14 (A 8)				U 14	A 8	zusammenhängend	10,011
399574	relation	route	detour	U 17 (A 81)				U 17	A 81	zusammenhängend	5,611
402041	relation	route	detour	U 20 (A 81)				U 20	A 81	zusammenhängend	17,701
402043	relation	route	detour	U 27 (A 81)				U 27	A 81	zusammenhängend	13,452
402048	relation	route	detour	U 13 (A 81)				U 13	A 81	zusammenhängend	5,238
402915	relation	route	detour	U 14 (A 81)				U 14	A 81	zusammenhängend	21,788
402923	relation	route	detour	U 21 (A 81)				U 21	A 81	zusammenhängend	9,390
422449	relation	route	detour	U 14 (A 81)				U 14	A 81	zusammenhängend	9,052
422454	relation	route	detour	U 16 (A 81)				U 16	A 81	zusammenhängend	10,795
422457	relation	route	detour	U 23 (A 81)				U 23	A 81	zusammenhängend	29,951
422459	relation	route	detour	U 29 (A 81)				U 29	A 81	zusammenhängend	18,510
536754	relation	route	detour	U 66a (A 6)				U 66a	A 6	zusammenhängend	3,772
546183	relation	route	detour	U 22 (A 81)				U 22	A 81	zusammenhängend	29,305
564056	relation	route	detour	U 65 (A 6)				U 65	A 6	zusammenhängend	14,836
574675	relation	route	detour	U 64 (A 6)				U 64	A 6	zusammenhängend	14,270
574695	relation	route	detour	U 69 (A 6)				U 69	A 6	zusammenhängend	15,179
942841	relation	route	detour	U 61a (A 6)				U 61a	A 6	zusammenhängend	4,638
975592	relation	route	detour	U 10 (A 81)				U 10	A 81	zusammenhängend	10,626
1103450	relation	route	detour	U 90 (A 5)				U 90	A 5	zusammenhängend	10,568
